Year,Quarter,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2010,Q2,0.125,,0.14828125,,0.21937500000000001,0.37828125,0.873125,1.3790625,2.25484375,2.93515625,3.4925,4.20125,4.3715625
2010,Q3,0.14265625,,0.15484375,,0.195,0.26890625,0.53875,0.83390625,1.545,2.19390625,2.78453125,3.5928125,3.85609375
2010,Q4,0.11967741935483871,,0.13951612903225807,,0.18419354838709678,0.2591935483870968,0.48709677419354835,0.753225806451613,1.5033870967741934,2.193064516129032,2.8783870967741936,3.849354838709677,4.167096774193548
2011,Q1,0.10467741935483871,,0.1267741935483871,,0.1682258064516129,0.2720967741935484,0.6937096774193549,1.1603225806451614,2.1193548387096777,2.8245161290322582,3.4574193548387098,4.319193548387097,4.559193548387097
2011,Q2,0.02412698412698413,,0.04523809523809524,,0.10222222222222223,0.20412698412698413,0.5615873015873016,0.9442857142857143,1.8544444444444443,2.5371428571428574,3.2014285714285715,4.061587301587301,4.3382539682539685
2011,Q3,0.01984375,,0.025,,0.06281250000000001,0.13343750000000001,0.27921875,0.46625,1.1440625,1.7628125,2.41421875,3.32734375,3.6909375
2011,Q4,0.010163934426229508,,0.014754098360655738,,0.049836065573770495,0.1139344262295082,0.2636065573770492,0.41672131147540986,0.9526229508196721,1.4988524590163934,2.0467213114754097,2.7503278688524593,3.040983606557377
2012,Q1,0.050967741935483875,,0.07064516129032258,,0.11161290322580646,0.1564516129032258,0.28951612903225804,0.4196774193548387,0.8983870967741936,1.4435483870967742,2.04,2.799193548387097,3.1433870967741933
2012,Q2,0.0615625,,0.08828125,,0.14421875,0.188125,0.28953125,0.4028125,0.78890625,1.2390625,1.82578125,2.54921875,2.93765625
2012,Q3,0.07952380952380952,,0.10158730158730159,,0.14126984126984127,0.18190476190476193,0.25777777777777783,0.3466666666666667,0.6688888888888889,1.0798412698412698,1.6412698412698414,2.364920634920635,2.743968253968254
2012,Q4,0.09147540983606557,,0.08967213114754098,,0.1378688524590164,0.1722950819672131,0.26754098360655737,0.35950819672131146,0.6901639344262296,1.119344262295082,1.7070491803278687,2.455081967213115,2.8631147540983606
2013,Q1,0.0685,,0.08633333333333335,,0.11516666666666667,0.14983333333333335,0.2628333333333333,0.39149999999999996,0.8226666666666667,1.3206666666666667,1.951,2.747666666666667,3.134666666666667
2013,Q2,0.0346875,,0.051562500000000004,,0.0875,0.12796875,0.27015625,0.4334375,0.909375,1.38234375,1.98625,2.77515625,3.140625
2013,Q3,0.0253125,,0.0321875,,0.06296875,0.1225,0.3659375,0.7071875,1.50375,2.11703125,2.7065625,3.4378125,3.714375
2013,Q4,0.05838709677419355,,0.06016129032258064,,0.08935483870967742,0.1253225806451613,0.32725806451612904,0.6325806451612903,1.439032258064516,2.115806451612903,2.7441935483870967,3.5012903225806453,3.7861290322580645
2014,Q1,0.03819672131147541,,0.04934426229508197,,0.07606557377049179,0.12049180327868853,0.3747540983606557,0.7639344262295082,1.6034426229508196,2.229016393442623,2.7654098360655737,3.4188524590163936,3.6849180327868853
2014,Q2,0.024761904761904763,,0.03301587301587302,,0.05523809523809524,0.10301587301587302,0.4195238095238095,0.8719047619047618,1.6576190476190475,2.1946031746031744,2.620952380952381,3.1779365079365083,3.4425396825396826
2014,Q3,0.021875,,0.02640625,,0.05203125,0.109375,0.515,0.98390625,1.7015625,2.158125,2.49953125,3.008125,3.2653125
2014,Q4,0.02838709677419355,,0.02258064516129032,,0.07580645161290323,0.15225806451612903,0.5366129032258065,0.9675806451612904,1.600967741935484,1.994516129032258,2.2759677419354842,2.6916129032258063,2.9661290322580647
2015,Q1,0.019672131147540982,,0.02459016393442623,,0.08901639344262297,0.22540983606557377,0.6045901639344262,0.9696721311475409,1.4572131147540983,1.7693442622950821,1.9688524590163934,2.3173770491803283,2.5514754098360655
2015,Q2,0.01296875,,0.01828125,,0.08687500000000001,0.2503125,0.61265625,0.96890625,1.52515625,1.90703125,2.164375,2.62171875,2.88203125
2015,Q3,0.0246875,,0.04265625,,0.17109375,0.3478125,0.6925,1.02328125,1.5557812500000001,1.94359375,2.223125,2.645625,2.96
